,_id,date,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,szz,bug
0,7ff9b5e7960c9af4d2ba07d3470483b51a02c825,1388666079,2,2,2,0.391243564,26,0,3661,1,11,23.48954282,124,3167,140.7797252,305,1,1
1,712b704995b043e4a4d99ad30227e5434cb6503c,1388667687,2,2,2,0.61361902,32,1,3340,1,22,8.893553241,214,3169,142.7236156,305,1,1
2,ac2334c5e86fc350c298c6647ae4cbd01cc6fb31,1388669717,2,2,3,1.040852083,23,1,5542,1,24,15.7018017,279,3172,145.6087922,305,1,1
3,3743c4479cbac2ff6c8704e9f0a938a9ad18c145,1388748289,1,1,1,0,2,4,736,0,27,28.8281713,325,10181,654.0536133,122,0,0
4,a8c16bcddf8ea1c15574f4c6305041f3a02174d1,1388759616,1,1,1,0,1,6,98,0,3,816.1555093,8,10182,654.9130713,13,0,0
5,a9f59f5a249a7f22519f90b482e2619a1a2459d1,1388768589,1,2,2,0.845350937,5,6,3133,0,11,642.5220602,166,10184,656.7252948,1234,0,0
6,72a2dd63bdac100bd99c0df62690bd2dfb915634,1388769524,1,2,2,0.808092783,8,117,649,1,7,652.9445891,31,103,103,5,0,0
7,34cf1bdbcef86349b12798d93b90bfae77c8a52f,1388769640,1,1,1,0,3,4,1296,1,9,654.9470949,57,104,103.9973184,6,0,0
8,e1051acac48de2e59e4c3d2d0f46898b4067bf9a,1388979609,1,1,1,0,4,0,636,1,12,52.80710648,53,105,2.395903732,54,0,0
9,25dbd9e17c7b6920dccf1b458296dbbe00f382de,1389004548,2,6,21,3.257345579,347,293,50795,1,31,74.40314552,1330,139,24.34085056,66,1,1
10,75539f3ab0e73a2b15f1fc62429d01cf2819baa7,1389009601,1,1,1,0,25,26,2103,0,4,25.9190625,20,9538,19.08199407,65,1,1
11,0dd37821ded6cabd80be1e485c81e88c1a17a94f,1389014845,2,2,2,0.987692509,21,2,1131,0,11,449.5368461,74,450,149.428161,135,0,0
12,23f99b8ee2d416cf9b0622bf3ddf2ea4961ce8f4,1389015187,1,2,5,2.00619746,52,50,11586,1,19,0.123136574,331,10189,657.4449815,122,1,0
13,5388a4d8d85e37aca7900d6712dbfdecbd3eda4d,1389019430,2,2,2,0.612196127,50,3,3895,1,16,28.01186921,91,107,4.068931664,57,1,1
14,ad704373cea78f3c29e047ad44aaf6e254d7c32f,1389023632,1,1,1,0,2,11,5888,0,17,0.22087963,197,10190,657.4793418,122,0,0
15,1a9cac53d4ac29d3f80117ac2f0972315a7c6461,1389023635,1,1,1,0,2,2,5879,0,17,0.000555556,198,10191,658.4789926,122,1,1
16,a4e4a10b05d87e208100de0a8e7c789cfbdbdfad,1389024475,1,4,7,2.589228301,55,41,6547,0,11,66.31563492,243,10198,665.3724063,1234,1,0
17,f897454e4ec6158ce545354916ecdac6812fe09b,1389024582,1,1,1,0,12,2,226,0,3,275.9191319,19,10199,666.3503,38,1,0
18,16bbff04917b9cd9bd7cceaf4adfc1563daef0bc,1389049268,2,3,8,2.464025047,65,12,10484,1,26,10.5823886,981,3180,144.3151268,305,1,1
19,898da07e1ab8f70e81db909fb2e1c38edc9b87c3,1389056717,2,4,8,2.422608092,125,94,19501,1,32,18.73668403,1406,3188,151.6007134,305,1,1
20,c2c89873c61d71348f0b43a177f550bf104965a7,1389068804,1,1,1,0,67,1,3665,1,8,0.571458333,51,140,15.94112445,34,1,1
21,0034505de2732b8d694205cdc539038707e38e58,1389093650,2,2,3,1.449901909,41,34,4391,1,14,0.783371914,92,10202,660.6414297,187,1,1
22,a8aaf742050ddcf06a8f62a218f3fab795bb82af,1389094344,1,1,1,0,1,1,374,0,2,14.71701389,38,1438,32.77241834,228,0,0
